date,momRet,scldfctVol,momRetScld
1927-07,0.08826313288409476,1.0338452073190896,0.09135195253714658
1927-08,0.05775032339380992,1.030879636002858,0.05962009534006611
1927-09,0.07467081946229141,1.0314233036211584,0.07708321223150014
1927-10,0.006359652092869388,1.0796638232142146,0.007065445850935182
1927-11,-0.06901900921684215,1.0106921935655908,-0.06973452021660619
1927-12,0.001743889466656282,0.9334671729067537,0.0014814913506963645
1928-01,-0.007909353070520476,0.9371270451422462,-0.00756925105910799
1928-02,0.003925759633170897,1.0031926342668218,0.003948828840979576
1928-03,0.05252995962118727,1.0503632642372513,0.055321593324249296
1928-04,-0.046639127304629505,1.0918272705968775,-0.050719851072720805
1928-05,0.011736222056229687,1.1560439408823286,0.014066929007777325
1928-06,0.04579708509177587,1.1146626077833606,0.051403752381403774
1928-07,0.029693759739414627,1.1070034580843902,0.03321350578092908
1928-08,0.01432865765248278,1.0070415652072509,0.014452086838338313
1928-09,0.039269777536600534,0.9579009013817441,0.037502887733100926
1928-10,0.10579089945495657,0.9418082741274222,0.09939615835798271
1928-11,0.16334936321171697,0.986382113976451,0.16107314223459102
1928-12,0.05253766278978167,0.9057792399034971,0.04753099181197678
1929-01,-0.07608510894850129,0.7697765627377636,-0.05935129332859719
1929-02,0.06810710397139784,0.7815194430462773,0.052440495958188345
1929-03,0.028387095602736154,0.7608629720815422,0.020785624034137952
1929-04,0.08513226437353816,0.7210438280843146,0.060379851578485404
1929-05,-0.03221516295500963,0.7060734266278461,-0.02403954741985558
1929-06,0.10667508259897242,0.8086932812155719,0.08527262763322614
1929-07,0.024621807952939594,0.8009918700363307,0.019065141167020374
1929-08,0.07705338658538713,0.8081113909974303,0.06150016497856965
1929-09,0.056727118997880646,0.8322181672730044,0.04662210259254938
1929-10,0.04984804137427406,0.8917207863603437,0.04395245027004819
1929-11,-0.0022961026808924947,0.6650661137639547,-0.0027663154658575367
1929-12,0.07450909025061969,0.5147368525616932,0.03655710095731738
1930-01,-0.1082948243770155,0.5013421740782893,-0.05499088365088987
1930-02,0.010229795087008099,0.4926937591005466,0.0035182374735479626
1930-03,-0.05701173310786563,0.49250800621444024,-0.02985495698203415
1930-04,0.0018099666245088727,0.503742896519386,-0.00013038208727577391
1930-05,-0.009647882092466548,0.7891785847489451,-0.008162037615210184
1930-06,0.09001588071489096,0.813548363861309,0.07272885305955984
1930-07,0.014872698257952338,0.7774516702028627,0.011117707441473976
1930-08,0.06125714614267544,0.7074279908003884,0.043071705009599
1930-09,0.09587369789051793,0.730363112017154,0.06942941119834886
1930-10,0.10802100044893771,0.7190962162993007,0.07742467929836554
1930-11,-0.030068460373222288,0.6931399319119996,-0.021240568664308356
1930-12,0.23088774366376413,0.5567813668744949,0.12793348742530286
1931-01,-0.17446792678914208,0.5419247215784304,-0.09523559556720415
1931-02,-0.18047369032889937,0.4693725563923602,-0.08492164836868173
1931-03,0.14012902756104348,0.45916431233303734,0.06363916218399672
1931-04,0.21615944919354474,0.468558134640772,0.10085811480681667
1931-05,0.09210019310524088,0.5456311657635216,0.0498438037802452
1931-06,-0.29008132206388704,0.5582197274434749,-0.16228254075699108
1931-07,0.1350906636443475,0.5558006838086876,0.07481696363998296
1931-08,-0.09066713435702776,0.5437353908579733,-0.04943580912033348
1931-09,0.16688768064182966,0.5310535380480449,0.08848560932289026
1931-10,0.09605969619251069,0.5033060062397169,0.04785072805749281
1931-11,0.09698736037455219,0.48889202069157756,0.04654746303023274
1931-12,0.21341324003338868,0.5294014894478409,0.11241656892890298
1932-01,-0.17529798332577118,0.5109044848492826,-0.09068544555101792
1932-02,-0.06598308436452568,0.4518788127133554,-0.031077036552566314
1932-03,0.15678103948264976,0.4256445842634107,0.06581403170579929
1932-04,0.13354664975242542,0.42230571583873827,0.055762049808985886
1932-05,0.23197488995633725,0.39486948914946773,0.09123672798605256
1932-06,-0.04769242156497657,0.3918283752903036,-0.018808878380406947
1932-07,-0.6118607361808754,0.3443011566277426,-0.21086106881518915
1932-08,-0.7688308719893138,0.32987594840106976,-0.25381985027297604
1932-09,0.01677294919997232,0.26397335478307365,0.004206803676357687
1932-10,0.19897887454119034,0.2429062154795865,0.04818178661828391
1932-11,-0.07681109531356062,0.19556118325965732,-0.015182156450338302
1932-12,0.08511112309410368,0.2000675030762835,0.01694797663176316
1933-01,-0.016238232914634353,0.20782990742277546,-0.0034540074526156453
1933-02,0.09710281471847582,0.2403702229619347,0.02356851415722289
1933-03,0.13047076382652548,0.26670927559284413,0.034504446616454805
1933-04,-0.41737794940483114,0.4079955689661531,-0.1708803583723842
1933-05,-0.28494235785238,0.41053405383227753,-0.11721432765613213
1933-06,-0.056624180832035347,0.40768240055926747,-0.023203145491194375
1933-07,-0.06971242201722797,0.36992671413438716,-0.025914501868355967
1933-08,0.12030259201788446,0.32960187416427783,0.039450840358164485
1933-09,0.13032982206289828,0.3489849057676351,0.045352937652486734
1933-10,0.00204346403252369,0.41715299091931607,0.0007941524320952354
1933-11,0.08582760247332988,0.42557611692182196,0.03641129300869386
1933-12,0.015541598582704987,0.4666530865753083,0.007145865566248781
1934-01,-0.0927976746081047,0.556717083141369,-0.05188369218855525
1934-02,0.020405385664822872,0.5769570433616465,0.011688422390502658
1934-03,0.01275142466812653,0.5514770662690964,0.0069424136799836255
1934-04,-0.07482034170876008,0.5705960574064134,-0.04273513238707849
1934-05,-0.029497463619085926,0.6291899276354166,-0.018596588007157466
1934-06,0.008867627384828523,0.6973332262410327,0.006153424535989908
1934-07,0.18588682797298875,0.7555847491209584,0.14042881075377356
